,rewards
0,-57.87955986711452
1,-226.825711370629
2,-15.13131200532381
3,55.11940156611247
4,-170.15009790993943
5,-24.17127648346628
6,-14.605490355482182
7,-191.11270856554427
8,73.62094860273305
9,-191.24447917326083
10,-18.770269526233395
11,-10.070116406619489
12,-128.56298315057293
13,10.775806617620628
14,-155.54018709304887
15,-72.25422308385234
16,20.243520612281483
17,36.95623013792623
18,70.52569106023871
19,-146.1804526453099
20,-70.58887804313748
21,-138.04760038884808
22,72.09325738112068
23,115.49650062792534
24,73.46096441324237
25,-120.93675540843823
26,-127.92605002481936
27,53.63746129835313
28,43.41483426941693
29,81.11504703318526
30,96.61546180447661
31,74.60636405025615
32,109.29448181533893
33,47.030760112164664
34,138.97714423492303
35,177.12515431903392
36,107.17066789153112
37,2.7775209006065644
38,136.92962262798287
39,122.75095987635193
40,118.31644951132591
41,147.84334825824257
42,26.797295500265854
43,165.11065233254283
44,47.475292314197546
45,66.78769406094436
46,142.07692425931896
47,96.59956879533304
48,157.74710621353253
49,96.71769936926893
50,84.98961256901536
51,68.27175202766546
52,74.74138684832465
53,145.93386347116558
54,144.83825889347278
55,151.6596068897203
56,114.77700983251265
57,93.54264613711933
58,61.88484999012526
59,135.57663143042947
60,40.59730188114639
61,65.78513207770881
62,6.7795280320220135
63,16.774927382541733
64,23.55879024941316
65,35.65613868208423
66,100.55959059922803
67,17.947519052002978
68,89.45328452652357
69,99.93749160609528
70,76.8209149683245
71,136.69202105204684
72,11.201028353908068
73,64.50145788655772
74,30.17875842657058
75,46.63506631925799
76,15.07834397629736
77,-19.355866561676223
78,117.98372122969766
79,-8.711885329748773
80,18.02836784606754
81,72.17873555086773
82,85.85045812943468
83,37.82499937351474
84,36.85779841834973
85,19.33268726597484
86,35.43197504032324
87,25.61462572040211
88,-12.16065272413229
89,7.147139868467633
90,141.94228004817938
91,63.356661006714276
92,95.42900103593823
93,-38.311635518723094
94,140.86696288329534
95,-1.0444956813552428
96,16.003675749796905
97,7.096472153626628
98,29.942741119480477
99,56.46116003589768
100,93.65553329625124
101,17.11034006054159
102,54.7265073825879
103,140.21577215282167
104,123.07917379575568
105,55.7679722639774
106,24.109341848633093
107,91.68732470420474
108,31.787990052547286
109,76.66718384482557
110,149.1190115137771
111,36.097755039942044
112,30.00253232359621
