,rewards
0,-28.065425576881797
1,-43.19282886396623
2,-21.320812196877668
3,-31.506610254081224
4,-241.673088146601
5,-49.38483411391165
6,-72.02432931356775
7,-37.250812194949205
8,25.27874434049967
9,24.162405310228046
10,-318.3688191258775
11,-154.56787219825898
12,-37.31878391142027
13,12.062111919318845
14,56.03588651325204
15,72.01573263221235
16,14.703353321306807
17,36.565965394842074
18,-225.61989564366235
19,45.382150163778846
20,-198.9944729592057
21,52.94649377033919
22,-79.4974213491728
23,136.06725006839866
24,-162.6076208862514
25,54.31862945861767
26,-74.14092885196264
27,-249.1117958767082
28,75.41661645774873
29,31.794691883498032
30,59.84846184663351
31,10.131009647990117
32,-14.852208375782116
33,48.84850517626682
34,-51.19079987742961
35,13.562406817009041
36,21.325084272610965
37,-2.823876112793253
38,69.22517939279716
39,94.88736810219045
40,62.743780233055006
41,-71.82103907921989
42,87.95237454210944
43,179.24461570410745
44,81.3070135794471
45,73.26513317000966
46,144.44722880816545
47,151.1250025287838
48,62.407641430042446
49,98.18267164570733
50,92.45751257544788
51,88.52725769677727
52,112.21331043137111
53,86.86498366050809
54,78.74000705579215
55,53.8923835169966
56,102.01111562042053
57,74.41546159519017
58,70.82322649766971
59,119.25045040274709
60,0.9639995031993711
61,124.75344041629727
62,104.76964713574891
63,70.27090539931343
64,15.319801420746684
65,77.12836590720788
66,160.8901339255882
67,93.52929207055693
68,130.57790606221462
69,-26.410226714997385
70,100.95807322922596
71,62.57571502245487
72,54.06080038037099
73,-17.919700598355366
74,67.49329963946316
75,156.73937541457175
76,34.44041731122855
77,92.66760207791944
78,27.96581463029557
79,23.660658139189074
80,41.168642020955744
81,2.1366632332579316
82,104.15922220419797
83,25.60548663000906
84,-6.221604589481727
85,67.57878738490302
86,49.91708285515543
87,55.82996253289399
88,76.6115783390426
89,110.82286215185567
90,-0.7665085398461244
91,6.828004598808131
92,135.74189494767325
93,3.9181931628683513
94,32.257890788740596
95,3.084932492254503
96,30.60587763269669
97,25.809665639557807
98,50.16373712583935
99,77.73688256322498
100,-4.976674318403927
101,70.70247084828459
102,13.26092828691624
103,139.81617795035504
104,17.796066080525193
105,79.42890087742252
106,48.40900822346187
107,105.2955669040916
108,2.8001496752824755
109,51.41767074310546
110,36.31463151187985
111,141.26513828167282
112,61.317059788314126
113,78.7526584199713
114,175.33388707660876
115,56.879202989112684
116,33.18174958389079
117,124.660368710101
118,116.3075880257817
119,43.39690122138988
120,108.52656480754588
121,50.38174152635932
122,119.69670099608766
123,134.59763241154224
124,24.743677069805255
125,65.75194807032102
126,132.02220246274413
127,106.96578763041663
128,79.90568445136239
129,19.384499929199812
130,161.65861767544092
131,21.324098054796252
132,114.96950730797097
133,40.73081602051059
134,2.5367333850501756
135,59.62787595355263
136,110.90657204657256
137,38.91612986733526
138,83.09406133098183
139,80.79040674672636
140,52.789204891902614
141,-5.115895965957509
142,70.00155489054205
143,29.96890911042692
144,68.0912791629574
145,-21.010354023872438
146,67.4828971810215
147,76.79795062119258
148,29.9994269644788
149,187.70219404562764
