,rewards
0,-149.96195051903982
1,-48.655621834198115
2,-56.17774164237272
3,-187.5300977581337
4,-111.63369326421964
5,-81.790247745664
6,-57.582725963686
7,-6.304301291111745
8,122.8616446730102
9,-177.69078063680698
10,-190.26241761035567
11,-158.42138727541078
12,-21.72708317281212
13,-230.91785925241157
14,-5.673928066748822
15,-270.2389732730972
16,-198.91480161514636
17,-37.44679775770658
18,8.185421169720179
19,63.21020755750389
20,94.65046740737553
21,11.328998982730361
22,-137.13377196243218
23,-95.3604585699369
24,-125.02093315635263
25,57.33107693341249
26,-0.3184783416860151
27,98.51042884195134
28,63.32411827403095
29,-129.99027178518395
30,111.21579280111936
31,57.89706498049421
32,101.75064582307085
33,71.49079020830872
34,72.54583631180702
35,100.36201646358653
36,125.05359684915189
37,109.08661421165111
38,70.80948708982368
39,92.36851812257365
40,93.89850306023922
41,49.373914061910206
42,96.46080310681695
43,108.15862852212639
44,72.88340281195283
45,70.4783694544077
46,131.26055997379783
47,73.86737410391726
48,71.68384102910049
49,120.69441530812163
50,82.48803812875006
51,126.04395156875363
52,69.63775809202308
53,75.90089693315537
54,66.87131474729212
55,70.46306853544627
56,147.72618826650915
57,71.6789032786864
58,135.9658188534824
59,44.47932167322116
60,113.49548645838138
61,131.0578287603507
62,146.12969348352524
63,111.99499987944559
64,20.429763536325353
65,45.582754859491274
66,129.72251915262845
67,69.6912582072765
68,116.24198211467305
69,69.98795613754031
70,19.512831241343903
71,39.75454239258535
72,130.05333605830938
73,83.26068237245012
74,94.60519012720826
75,131.4168043160021
76,125.02134248465427
77,112.03283551707442
78,143.42506412565703
79,43.46315421844362
80,125.62092942267674
81,23.629386249140314
82,14.217657235257994
83,22.984675150822213
84,66.79774847625268
85,119.08050685491642
86,5.352945433226134
87,-61.80127820409122
88,148.00599842161398
89,5.771844556002525
90,85.09751724703624
91,-17.098262026312238
92,31.46798098357054
93,46.37153155496894
94,46.69243577933634
95,-15.118242317973396
96,-23.051535264235838
97,-4.407545549104277
98,14.685246727781387
99,7.8915495880023405
100,43.13937306109065
101,-8.411369917091035
102,56.5130377650198
103,93.57112839820985
104,71.14294095704605
105,18.07177111574268
106,68.43631419627474
107,-47.77213326301518
108,28.258799809016907
109,37.84638509306731
