,rewards
0,-41.829678816034985
1,-170.51441671169178
2,-97.96752502240926
3,40.41591795014935
4,-219.2820899855872
5,1.8099170188586093
6,3.9534782141163882
7,-377.7793286092776
8,-33.867667278405506
9,86.48155390482715
10,-186.29656588071495
11,-15.613433142709923
12,-4.720555962227226
13,-104.93883742249163
14,-88.36304300146313
15,50.16165805179006
16,75.44512227579754
17,-21.86489832935014
18,-170.7406789655548
19,-6.402788918216883
20,-213.84116106127462
21,-57.671028667873856
22,45.90074353696541
23,73.59947445493565
24,34.004293019445036
25,-105.50259487284447
26,-156.7083333789373
27,67.57886225625889
28,-72.04407024332305
29,-115.2675509631033
30,74.96376210178363
31,-43.78627175733083
32,104.13372859248653
33,72.70734964648813
34,82.40271711867297
35,-95.38905210484648
36,19.539482360293412
37,111.528588310003
38,89.60497232390155
39,51.22757187950525
40,178.4005248642342
41,106.23698903705483
42,-75.88055456747423
43,142.78646735718064
44,75.52789643560975
45,105.98224973081447
46,19.864427162620167
47,91.93243295672974
48,115.25318851286731
49,-0.13772235018960544
50,116.42183898651876
51,74.26817194125998
52,127.38411662948461
53,82.05444885410897
54,74.45861355813234
55,132.39659701922972
56,88.17734902194489
57,103.21859549361471
58,120.06872756064456
59,142.93925852911343
60,102.44402507097021
61,98.12687242183317
62,66.801570260189
63,62.2245249929925
64,80.01555216403315
65,97.82462488606458
66,76.66670548123484
67,104.08188073300519
68,52.262277994504075
69,18.245225662630695
70,152.56766418691578
71,19.16516984605432
72,91.35750159932208
73,28.53216633707524
74,-31.47652259848707
75,91.99455336796025
76,46.58175626495314
77,5.175554532379203
78,87.54016628952394
79,86.41489107198832
80,32.2955213917646
81,81.28364253517208
82,2.9774219022988033
83,-31.29477532102184
84,1.6512713164291535
85,57.997209598531725
86,58.30275051084662
87,48.43537771735416
88,13.334059825777011
89,16.203196079630153
90,57.56713604439486
91,50.59452405538546
92,77.69570683930196
93,63.80830428889206
94,14.895927206145064
95,-24.780786972905872
96,90.97321984730846
97,42.27852015558297
98,44.74484450921604
99,70.18573804303843
100,-8.23146192176272
101,75.78836009807245
102,8.81801497322362
103,89.32691607004296
104,62.28917805427544
105,116.5296101108524
106,86.48596259848622
107,65.79253209210869
108,52.06876531317424
109,104.68979043852589
110,130.79573258484095
111,72.43989445427233
112,84.8042243963843
113,82.09753982408134
114,21.486084348519487
115,28.85021584108614
116,79.11201736332714
117,157.46464918194542
118,161.53586174615373
119,73.88887507461021
120,161.65987323203325
121,75.17695369054411
122,82.26912430829081
123,51.32261694022402
124,130.98388774698708
125,39.81593449886954
126,134.38243003932595
127,40.572912281788525
128,76.70958754808312
129,-18.075323872262608
130,94.25551151799435
131,77.85800823070507
132,88.03169781199826
133,46.46459993743804
134,82.99778770498855
135,39.719289323566045
136,32.059111743417404
137,51.29978527182267
138,120.40903798852005
139,146.2293266858076
140,139.0295633246178
141,151.40136915486104
142,72.70767550972859
143,134.9143290519201
144,151.89022095724593
145,109.8732710219785
146,-0.6807273756688623
147,49.078478799366806
148,90.07590514839976
149,40.97750144686509
